165;188
123;189
121;188
165;185
121;187
181;180
156;185
157;185
125;180
174;181
174;187
133;181
134;187
122;180
169;182
126;189
163;189
153;189
138;180
137;189
179;189
165;184
182;188
134;187
121;188
137;187
149;188
174;188
172;185
141;180
129;186
173;188
124;180
121;189
137;183
165;182
121;187
121;180
172;189
130;185
126;182
129;188
138;189
121;187
174;186
158;183
172;189
169;184
122;180
154;181
153;185
179;189
146;184
145;183
147;186
126;182
140;189
122;189
134;188
137;189
169;184
177;186
169;185
157;185
165;185
134;183
177;184
137;182
162;189
134;188
134;182
165;185
170;180
145;186
165;187
145;180
158;182
153;187
129;189
140;189
169;187
141;184
145;184
153;183
158;187
158;183
137;183
177;187
169;183
158;184
146;184
164;180
134;184
178;189
147;183
177;186
139;184
140;184
130;181
133;185
129;187
162;189
129;188
177;184
177;185
145;188
155;180
134;189
131;185
142;189
173;185
145;182
158;187
124;189
158;186
126;180
150;180
129;186
155;185
140;189
153;188
131;180
173;180
161;188
121;188
179;180
153;182
157;181
155;180
137;188
156;185
147;186
165;187
178;180
142;180
138;184
177;181
137;187
153;185
132;180
131;180
174;185
165;181
182;181
172;185
177;187
172;180
161;187
141;189
174;186
174;189
129;189
148;187
139;189
145;182
153;184
145;180
178;189
149;181
153;189
178;189
170;189
141;180
170;180
171;180
137;180
129;188
181;189
173;185
177;181
158;183
163;189
150;189
126;181
180;189
164;180
169;181
130;181
145;187
131;185
156;180
153;188
147;186
150;180
177;181
171;189
130;181
158;188
146;185
133;181
169;186
134;189
165;188
129;183
156;180
134;189
145;181
180;180
174;189
169;181
138;180
153;185
153;183
132;180
137;181
139;180
138;180
170;180
142;180
124;184
142;189
134;186
177;182
138;184
145;185
123;180
177;188
177;183
171;180
145;189
123;180
140;184
171;180
173;188
154;185
181;189
163;189
165;184
141;189
137;184
165;188
178;180
129;184
137;185
122;186
132;185
182;188
137;188
165;180
153;183
134;182
146;185
123;185
179;189
158;182
177;186
157;181
142;180
125;183
169;188
145;183
165;180
165;183
145;187
156;185
177;183
158;185
182;181
129;187
145;185
124;180
137;189
133;181
129;182
125;180
166;180
177;182
134;187
165;186
140;180
161;188
148;182
173;185
134;183
157;185
173;180
134;186
132;185
122;189
165;186
172;185
145;187
142;189
153;182
153;186
129;185
137;188
164;180
169;183
165;182
181;180
139;189
155;185
158;187
145;184
182;188
129;184
161;188
131;185
153;184
139;180
133;185
137;186
137;187
140;184
149;181
174;189
125;189
126;180
134;185
158;188
158;189
178;180
129;185
181;189
146;184
177;184
158;188
164;189
145;186
169;182
162;189
153;187
165;187
124;184
177;188
137;185
